Wall time,Step,Value
1729457918.8029625,687938,-16.0
1729457966.2211978,696027,-15.0
1729457990.992499,700392,-20.0
1729458185.6615148,734826,-21.0
1729458195.7124555,736584,-19.0
1729458299.547637,753557,-15.0
1729458309.6959114,755395,-16.0
1729458385.2022533,767631,-16.0
1729458397.1391938,769749,-15.0
1729458500.5607204,786946,-19.0
1729458576.177856,799286,-17.0
1729458590.3633301,801670,-19.0
1729458663.7799163,813669,-15.0
1729458798.1738462,834756,-17.0
1729458825.3452687,839114,-18.0
1729458927.848267,855569,-17.0
1729459046.8350441,874838,-17.0
1729459062.7981184,877475,-20.0
1729459185.5295455,896563,-15.0
1729459309.8149126,916264,-16.0
1729459337.5018291,920691,-19.0
1729459564.7613692,957734,-16.0
1729459710.9938488,983952,-17.0
1729459738.1863692,988396,-17.0
1729459766.02466,993351,-18.0
1729459808.9260604,1000905,-10.0
1729459823.1305249,1003392,-14.0
1729459849.8278701,1008121,-9.0
1729459865.4597206,1010758,-12.0
1729459884.6581094,1013679,-12.0
1729459964.6128178,1026871,-18.0
1729460084.287915,1046149,-8.0
1729460398.02073,1096098,-13.0
1729460565.6710782,1123046,-16.0
1729460584.1960135,1125814,-18.0
1729460658.7911818,1137113,-13.0
1729460705.7196372,1144193,-7.0
1729460807.3534129,1161387,-14.0
1729461029.5318296,1204573,-11.0
1729461042.0783193,1207034,-19.0
1729461064.0107372,1211337,-20.0
1729461107.091858,1218690,-16.0
1729461293.9892242,1246484,-3.0
1729461556.0708702,1285511,-2.0
1729461708.6712067,1308285,-13.0
1729461779.5678394,1318953,4.0
1729462079.7774622,1364548,4.0
1729462162.3772337,1380934,-3.0
1729462228.5941455,1394016,-6.0
1729462314.2145565,1410910,4.0
1729462516.5897737,1451330,-3.0
1729462556.2856276,1459138,1.0
1729462704.2739236,1488301,6.0
1729462742.9057581,1495968,-1.0
1729462820.428741,1510752,-1.0
1729462945.027649,1535702,-6.0
1729463354.671655,1614695,3.0
1729463395.2544024,1622768,-2.0
1729463598.9565527,1663093,-2.0
1729463712.3037984,1685212,-2.0
1729464026.1269202,1746585,3.0
1729464348.569115,1808728,-7.0
1729464403.2586105,1819328,8.0
1729464589.1215272,1856084,-1.0
1729464634.2118993,1864992,2.0
1729464732.202316,1884424,-3.0
1729464793.2061512,1895969,-2.0
1729464829.837345,1902805,9.0
1729465044.948079,1941966,10.0
1729465189.0041533,1967829,4.0
1729465270.140814,1982655,9.0
1729465306.8012636,1989436,4.0
1729465459.6342652,2017762,1.0
1729465479.9915423,2021169,-6.0
1729465875.5993767,2091765,8.0
1729466178.950763,2141039,11.0
1729466195.1698847,2143707,9.0
1729466232.9038038,2150044,6.0
1729466307.2810247,2162118,11.0
1729466477.9820628,2189673,7.0
1729466682.0125368,2223003,15.0
1729466747.4011104,2233682,11.0
1729466778.0751352,2238817,13.0
1729466817.683222,2245164,17.0
1729466853.9520183,2251111,8.0
1729466889.5188427,2256933,7.0
1729467030.5900185,2279983,21.0
1729467086.5681028,2289146,21.0
1729467098.3840146,2291104,17.0
1729467146.711087,2299090,19.0
1729467185.8692558,2305760,15.0
1729467211.7829685,2309677,21.0
1729467261.2592423,2318742,16.0
1729467329.749181,2331474,20.0
1729467380.5612745,2340623,20.0
1729467388.593596,2342271,21.0
1729467517.2041526,2364038,17.0
1729467631.2788756,2382470,20.0
1729467652.3387246,2385750,21.0
1729467664.945501,2387880,15.0
1729467744.3578148,2400857,21.0
1729467796.7074852,2409516,20.0
1729467838.624209,2416558,20.0
1729467850.194662,2418212,21.0
1729467988.3619993,2440007,21.0
1729468078.8737822,2454627,21.0
1729468126.1020582,2462262,18.0
1729468183.0028825,2471024,21.0
1729468205.7966766,2474603,20.0
1729468247.274319,2481474,21.0
1729468409.6316383,2507412,21.0
1729468431.726249,2510716,21.0
1729468487.3426075,2519624,21.0
1729468499.3208172,2521472,20.0
1729468520.4643297,2524768,21.0
1729468552.8323514,2530020,21.0
1729468597.39903,2537095,19.0
1729468661.494163,2547461,21.0
1729468703.972853,2554316,18.0
1729468756.0415943,2562808,21.0
1729468821.2078047,2573289,21.0
1729468854.113519,2578434,21.0
1729468907.3689446,2587088,20.0
1729468939.5072925,2592354,20.0
1729468993.3388207,2601030,20.0
1729469035.2761228,2607773,21.0
1729469077.5712342,2614518,20.0
1729469173.3011098,2630111,21.0
1729469249.6694632,2642091,21.0
1729469283.1630378,2647512,20.0
1729469293.2648225,2649164,21.0
1729469388.1413748,2664411,21.0
1729469500.9899445,2682471,20.0
1729469599.7688217,2698601,21.0
1729469666.9176614,2709339,21.0
1729469718.2891996,2717197,21.0
1729469833.2865934,2736185,20.0
1729469843.759049,2737942,20.0
1729469886.042011,2744698,21.0
1729470027.093293,2767428,21.0
1729470282.7073572,2809096,15.0
1729470490.3375132,2842526,19.0
1729470512.7352474,2845926,21.0
1729470523.335836,2847771,19.0
1729470535.9806776,2849485,20.0
1729470635.4553802,2865268,21.0
1729470723.2013583,2879639,21.0
1729470733.23111,2881382,20.0
1729470764.690169,2886595,21.0
1729470906.7001812,2909380,19.0
1729470930.5286143,2913099,20.0
1729471044.1457553,2932055,21.0
1729471075.5255306,2937813,10.0
1729471112.8060641,2944777,20.0
1729471148.516032,2951436,21.0
1729471185.0973911,2958211,21.0
1729471252.1270492,2970308,21.0
1729471262.727669,2972068,20.0
1729471289.9388337,2977251,20.0
1729471317.144187,2982318,21.0
1729471432.4282992,3003850,19.0
1729471490.056312,3014449,20.0
1729471529.1269443,3021414,21.0
1729471622.1871943,3038595,20.0
1729471654.4078233,3044256,17.0
1729471792.7694988,3068792,21.0
1729471835.6355011,3074304,21.0
1729471899.0747006,3082858,20.0
1729471934.9705648,3087887,21.0
1729472041.4095578,3103604,21.0
1729472168.7292936,3122410,21.0
1729472225.2874093,3130881,20.0
1729472249.6713288,3134302,20.0
1729472539.2909808,3176790,20.0
1729472630.3352683,3190276,21.0
1729472654.3174224,3193633,21.0
1729472691.3997622,3198949,20.0
1729472767.4899936,3209681,20.0
1729472778.5357523,3211328,21.0
1729472860.9654894,3223407,20.0
1729472952.0145411,3237302,20.0
1729472998.8492875,3244524,21.0
1729473045.4753551,3251412,21.0
1729473088.799318,3258259,21.0
1729473123.638218,3263514,21.0
1729473146.7027884,3267077,20.0
1729473212.7438645,3277261,20.0
1729473315.0992222,3292986,21.0
1729473407.2156153,3307293,21.0
1729473429.7236269,3310910,21.0
1729473465.1033058,3316245,17.0
1729473485.8459158,3319595,21.0
1729473497.956921,3321477,19.0
1729473508.4228108,3323233,20.0
1729473585.4544766,3335356,20.0
1729473630.748974,3342111,21.0
1729473641.4900563,3343802,21.0
1729473719.7189786,3355967,19.0
1729473821.0563505,3371763,20.0
1729473866.1202571,3378792,21.0
1729473887.370886,3382152,20.0
1729473991.5987666,3398344,18.0
1729474114.1661665,3417089,21.0
1729474226.0215006,3434344,20.0
1729474250.2814167,3438226,17.0
1729474329.8985772,3450718,21.0
1729474340.76697,3452430,20.0
1729474387.0429542,3459392,21.0
1729474420.5194647,3464568,21.0
1729474509.765392,3478485,19.0
1729474728.3130076,3512003,21.0
1729474775.567705,3519416,20.0
1729474858.1974115,3531845,20.0
1729474928.9412305,3542668,20.0
1729474952.412363,3546148,21.0
1729475055.7774181,3561645,21.0
1729475098.701775,3568315,21.0
1729475200.8007991,3583987,18.0
1729475258.2153187,3592796,20.0
1729475270.3675687,3594593,20.0
1729475280.6227686,3596255,21.0
1729475458.9571767,3623758,20.0
1729475516.0288029,3632673,21.0
